ENV_VAR_NAME,FIRST_FILE,FIRST_LINE
CLUSTER_JOIN,./usecases/config/environment.go,1487
CLUSTER_SKIP_SCHEMA_REPAIR,./usecases/config/environment.go,1537
COHERE_APIKEY,./modules/generative-cohere/module.go,64
CONTEXTIONARY_URL,./usecases/config/environment.go,603
CONTEXTUALAI_APIKEY,./modules/generative-contextualai/module.go,64
CORS_ALLOW_HEADERS,./usecases/config/environment.go,1160
CORS_ALLOW_METHODS,./usecases/config/environment.go,1154
CORS_ALLOW_ORIGIN,./usecases/config/environment.go,1148
CURRENT_VERSION,./tools/dev/generate_release_notes/main.go,45
DATABRICKS_TOKEN,./modules/generative-databricks/module.go,63
DEFAULT_QUANTIZATION,./usecases/config/environment.go,491
DEFAULT_TOKENIZATION,./usecases/schema/class.go,486
DEFAULT_VECTOR_DISTANCE_METRIC,./usecases/config/environment.go,707
DEFAULT_VECTORIZER_MODULE,./usecases/config/environment.go,687
DISABLE_GRAPHQL,./usecases/config/environment.go,833
DISABLE_LAZY_LOAD_SHARDS,./usecases/config/environment.go,131
DISABLE_RECOVERY_ON_PANIC,./adapters/repos/db/inverted/bm25_searcher_block.go,53
DISABLE_TELEMETRY,./usecases/config/environment.go,854
DISK_USE_READONLY_PERCENTAGE,./usecases/config/environment.go,1443
DISK_USE_WARNING_PERCENTAGE,./usecases/config/environment.go,1433
DISTRIBUTED_TASKS_ENABLED,./usecases/config/environment.go,930
ENABLE_CLEANUP_UNFINISHED_BACKUPS,./adapters/handlers/rest/configure_api.go,1121
ENABLE_EXPERIMENTAL_HYBRID_OPERANDS,./adapters/handlers/graphql/local/aggregate/hybrid_search.go,116
ENABLE_MODULES,./usecases/config/environment.go,711
ENABLE_TOKENIZER_GSE,./usecases/schema/class.go,812
ENABLE_TOKENIZER_GSE_CH,./usecases/schema/class.go,817
ENABLE_TOKENIZER_KAGOME_JA,./usecases/schema/class.go,827
ENABLE_TOKENIZER_KAGOME_KR,./usecases/schema/class.go,822
EXPERIMENTAL_AUTHORIZATION_RBAC_ADMIN_USERS,./usecases/config/environment.go,354
EXPERIMENTAL_AUTHORIZATION_RBAC_READONLY_ROOT_GROUPS,./usecases/config/environment.go,343
EXPERIMENTAL_AUTHORIZATION_RBAC_READONLY_USERS,./usecases/config/environment.go,349
EXPERIMENTAL_HFRESH_ENABLED,./usecases/config/environment.go,496
EXPERIMENTAL_METADATA_SERVER_ENABLED,./usecases/config/environment.go,884
EXPERIMENTAL_METADATA_SERVER_GRPC_LISTEN_ADDRESS,./usecases/config/environment.go,888
EXPERIMENTAL_OTEL_BSP_EXPORT_TIMEOUT,./usecases/telemetry/opentelemetry/config.go,98
EXPERIMENTAL_OTEL_BSP_MAX_EXPORT_BATCH_SIZE,./usecases/telemetry/opentelemetry/config.go,104
EXPERIMENTAL_OTEL_ENABLED,./usecases/telemetry/opentelemetry/config.go,54
EXPERIMENTAL_OTEL_ENVIRONMENT,./usecases/telemetry/opentelemetry/config.go,64
EXPERIMENTAL_OTEL_EXPORTER_OTLP_ENDPOINT,./usecases/telemetry/opentelemetry/config.go,69
EXPERIMENTAL_OTEL_EXPORTER_OTLP_PROTOCOL,./usecases/telemetry/opentelemetry/config.go,73
EXPERIMENTAL_OTEL_SERVICE_NAME,./usecases/telemetry/opentelemetry/config.go,60
EXPERIMENTAL_OTEL_TRACES_SAMPLER_ARG,./usecases/telemetry/opentelemetry/config.go,91
FAST_FAILURE_DETECTION,./usecases/config/environment.go,1549
FLAT_INDEX_DISABLE_FORCED_COMPACTION,./adapters/repos/db/vector/flat/index.go,286
FORCE_FULL_REPLICAS_SEARCH,./usecases/config/environment.go,135
FRIENDLI_TOKEN,./modules/generative-friendliai/module.go,64
GCLOUD_PROJECT,./modules/backup-gcs/client.go,61
GCP_PROJECT,./modules/backup-gcs/client.go,63
GITHUB_TOKEN,./tools/dev/generate_release_notes/main.go,36
GO_BLOCK_PROFILE_RATE,./usecases/config/environment.go,758
GO_MUTEX_PROFILE_FRACTION,./usecases/config/environment.go,767
GO_PROFILING_DISABLE,./usecases/config/environment.go,360
GO_PROFILING_PORT,./usecases/config/environment.go,205
GOMAXPROCS,./adapters/handlers/rest/configure_api.go,2109
GOOGLE_APIKEY,./modules/generative-google/module.go,71
GOOGLE_CLOUD_PROJECT,./modules/backup-gcs/client.go,59
GPT4ALL_INFERENCE_API,./modules/text2vec-gpt4all/module.go,94
